昵称,地区,时间,评论
￴ ￴   ￴ ￴ ￴￴ ￴,广西,2024-11-25 16:21:02,拍这个秒拉[呲牙]
7潘.,河南,2024-11-25 16:20:00,没看见砂糖橘差评
徐小友,广西,2024-11-25 16:20:52,今年不敢回家过年了[流泪]
青夏,江西,2024-11-25 16:15:16,有没有人一起拍这个[流泪][流泪]
不熬夜的小台灯,山西,2024-11-25 16:20:01,啊，大肌肉
青夏,江西,2024-11-25 16:14:25,想搞这个有宝宝一起来吗[送心][送心][送心]
初见°°,重庆,2024-11-25 16:21:02,你们在哪个组，我先来麻将组[尬笑]
减肥还剩五百斤,广西,2024-11-25 16:16:13,我来拉，一起跨年[玫瑰]
炭火烤肉拌饭,江西,2024-11-25 16:14:42,有一个大胆的想法，想每一个城市都有一个00后的微信好友[泣不成声]，没别的意思，就是想交朋友。可以嘛[泣不成声] 可以一起跨年的[泣不成声]（文案是复制的 我是认真的）
0122.*🌻,四川,2024-11-25 16:21:12,怎么说服那个当猪的[捂脸]
桃成蹊yu,贵州,2024-11-25 16:06:36,这个叫啥
奶味气泡,广东,2024-11-25 13:11:30,有人没？拉个全国过年抢红包和一起跨年群[色][色]真实，人少
张yu小丸子,山东,2024-11-25 16:21:22,不是，你们真磕头啊
孜然粒,山东,2024-11-25 16:14:03,没人拉我自己建了[不失礼貌的微笑]
怪咖.,美国,2024-11-25 13:12:18,自建会发红包的[黑脸]
你华很OK,山东,2024-11-25 16:19:06,你这是混沌组，不是饺子组
波力海洋🥦,天津,2024-11-25 13:43:16,蹲个过年发红包🧧群[看]
棒棒糖,安徽,2024-11-25 15:39:58,我建一个  谁来  过年抢🧧
敷衍.,四川,2024-11-25 16:19:09,怎么说服那个扮猪的[暗中观察]
念一,福建,2024-11-25 16:20:30,红包群红包群，谁拉
邓瑶瑶,湖南,2024-11-25 16:03:51,拉个过年群[猪头]
Y😃,甘肃,2024-11-25 16:15:45,我可能想过年想疯了，看个都觉得过年氛围感十足，都给我激动的想从教室窜出去坐高铁回家[流泪]
一杯冰美式☕️,澳大利亚,2024-11-25 15:58:38,建群？
茉莉星,浙江,2024-11-25 15:42:02,我来 [比心]
chuuya,安徽,2024-11-25 16:19:36,不是，用纸都比我包的好[尬笑]
不冻港,黑龙江,2024-11-25 16:20:44,嫂子有肌肉[捂脸]
已读不爱回.,贵州,2024-11-25 16:20:32,1600的粉丝整这么大量
leo🇦🇷,浙江,2024-11-25 16:20:44,阿姨 这。。这不对吧[震惊]
卡西莫多,贵州,2024-11-25 16:19:26,给我干哪儿来了，这还没过年呢
猫小喵（要的找我）,山东,2024-11-25 15:58:28,20分钟看到挑
NSix-明信片贝壳🐚邮寄,四川,2024-11-25 15:47:21,寄给谁
一只仙女妮🦋,江西,2024-11-25 16:20:40,完了这是真过过年
绾绾,江西,2024-11-25 16:06:32,有没有人一起拍这个的[流泪]
小吒.,北京,2024-11-25 15:56:37,谁来 有群
听烟,贵州,2024-11-25 16:19:17,谁懂，上课刷到笑得停不下来[裂开][裂开]
·--·,江西,2024-11-25 16:14:55,拉个过年🧨群
罐装冰块,浙江,2024-11-25 13:59:31,过年跨年整个这 有没有宝宝来的（图是盗的 心是真的[流泪]）
mzx,山东,2024-11-25 16:19:48,终于从视频中看到年味了，这些年一点年味都没有
小破碎,江苏,2024-11-25 14:49:03,我建谁来
半碗粥～🍚,重庆,2024-11-25 13:58:13,跨年聊天群差你了[看][看]真实
小小小明啊,吉林,2024-11-25 16:15:35,不是，一千多的粉丝，整一千万的活啊[泣不成声]
讨厌⁷香菜ª,河南,2024-11-25 15:04:05,我建来人
好剧剪映,河北,2024-11-25 15:21:36,有人没？拉个全国过年抢红包群真实[看]
绵绵冰小盐.,广东,2024-11-25 16:16:31,天呐 大学生就是会整活[看]
想要👉找我,山东,2024-11-25 15:54:03,10分钟看到挑[玫瑰]
N,安徽,2024-11-25 16:19:30,过年了吗，新年快乐！
丫丫.,山东,2024-11-25 15:59:17,十分钟内看到有
咪咪萌宠乐园,山东,2024-11-25 15:42:01,20分钟内看见挑[比心]
被砍13刀,浙江,2024-11-25 16:20:07,你们是真有活
田妈做饭香,山东,2024-11-25 15:50:50,磕一个给个红包🧧
挽清.,河南,2024-11-25 15:48:56,我来建有人进吗
koi ༃,江苏,2024-11-25 16:18:05,妈呀，这感觉直接就上来了
为我所恸,广东,2024-11-25 15:16:53,加油4号考科三加油一把过
── 展开2988条回复 ⌵,吉林,2024-11-25 15:54:15,扔块肉等会回来取
醉卧美人膝,云南,2024-11-25 16:19:32,我要猪尿泡[看][看]
买狗饭,湖北,2024-11-25 16:04:07,评论区建群的都是引流的[抠鼻]不要信
木又,河南,2024-11-25 13:47:15,蹲个京圈  沪圈  有钱圈的富二代跨年红包群[看]
宇宙无敌暴龙王,广西,2024-11-25 16:18:26,现在看完了过年看什么[尬笑]
我要不要,江西,2024-11-25 14:38:23,我现在建[看]
悦º,山东,2024-11-25 12:57:25,有人没？拉个全国过年抢红包群[色][色]真实
Yae Miko,河北,2024-11-25 16:21:28,好期待过年[色]
Aaaa 雪,江苏,2024-11-25 13:07:15,拉个全球过年抢红包群[色]
李宇权,安徽,2024-11-25 15:09:20,我建一个  谁来  过年抢🧧
有点火热,四川,2024-11-25 16:21:00,你们是咋说服他们下跪的[黑脸][黑脸][黑脸]
悲伤脆皮五花,重庆,2024-11-25 16:19:01,在评论区找人进群的目的是？[宕机]
么凹猫.,内蒙古,2024-11-25 15:50:06,红包太小了包个大的哈哈
开心,山东,2024-11-25 16:13:47,29分钟看见 挑
万事顺顺顺顺顺顺心,河南,2024-11-25 15:21:52,想拍[黑脸]
情字何解,江西,2024-11-25 16:16:14,预计50万点赞
烟花易冷,福建,2024-11-25 15:33:05,我拉一个都是大包的
OPPO A5机主,河北,2024-11-25 14:08:40,拉个全国过年抢红包群
明月昔年,湖北,2024-11-25 16:15:59,武汉的过年是挺早哦
英.🧸（化妆品👀简介）,云南,2024-11-25 14:29:22,勇敢的宝宝先选[灵机一动]
洋子,山东,2024-11-25 15:44:41,谁来 有红包群
AD.钙,江苏,2024-11-25 16:15:36,还真会包饺子
l7,河南,2024-11-25 16:18:27,我拉 一起跨年[比心]
控制欲,河南,2024-11-25 15:49:32,拉个过年群[送心]
火火爱吃葡萄,山东,2024-11-25 16:01:46,他教会了我包水饺[捂脸][捂脸][捂脸]
豆橛子（豆芽版）,湖北,2024-11-25 13:50:13,自建谁来
数学你的受众到底是谁,江西,2024-11-25 16:17:47,你们给了他什么好处[宕机]
小羊不上线,湖北,2024-11-25 16:21:14,早说这么好看，就留着春晚看了[捂脸]
灵灵优品,上海,2024-11-25 16:04:54,拉个过年群一起跨年
饭唯一,山东,2024-11-25 16:21:14,拉我个群[感谢]
我也不太了解她.,贵州,2024-11-25 16:17:14,比春节晚会有意思多了[捂脸]
棒棒糖,安徽,2024-11-25 15:39:46,拉个全国过年抢红包群
晚风.,江苏,2024-11-25 16:16:43,大学生还是太全面了[捂脸][捂脸][捂脸]
你猜我猜不猜,山东,2024-11-25 15:59:28,20分钟看到挑
madman.°C,广东,2024-11-25 14:56:19,这点钱可以回家过年吗？
/.花海～,广东,2024-11-25 15:48:50,这就把我的年过完了？[捂脸][OK]
悦悦（关㊗️直接思❤️）,河北,2024-11-25 14:34:40,女大要不要说话[色]
摆烂修勾,山东,2024-11-25 13:50:06,我建谁来[比心]
啦啦啦啦啦0101,陕西,2024-11-25 15:51:02,春联写的挺好
卖牛肉干的小王👑,内蒙古,2024-11-25 15:43:41,
天天开心果园（大学生在售版）,辽宁,2024-11-25 15:12:22,没有草莓组吗！！！
到底选啥呢（抗抑郁）,贵州,2024-11-25 16:17:21,马上过年了[眼含热泪]
宅妹小七,湖南,2024-11-25 15:59:47,有谁一起跨年吗？[黑脸][黑脸]
^0^,安徽,2024-11-25 16:18:35,谁拉我[猪头]
噜啦啦啦、,四川,2024-11-25 14:54:13,真的笑死人不偿命啊[微笑][微笑][微笑][微笑][微笑]
D。,山东,2024-11-25 15:47:05,拉个过年群
小  娜,湖南,2024-11-25 15:37:36,气氛都到这了那…..新年快乐？！
许个心愿,广东,2024-11-25 13:17:07,有人吗拉个全国跨年红包群[色][色]
YvelikeL.,重庆,2024-11-25 15:45:39,你为什么对我比心啊[泣不成声]
LIXYU,云南,2024-11-25 15:49:47,谁来 有群
烟花易冷,福建,2024-11-25 15:51:19,大包群我再拉20
🌝,湖南,2024-11-25 16:18:48,这个姐姐单身吗[舔屏]
苏茜不吃糖,山东,2024-11-25 15:55:51,20分钟看到挑
泪🍂,广东,2024-11-25 15:49:57,你是怎么说服他当猪的[捂脸][OK]
不清零,湖北,2024-11-25 10:51:49,怎么说服那个猪的，笑发财了
喵喵喵~,山东,2024-11-25 14:26:47,勇敢的宝宝先选
l,广东,2024-11-25 13:49:19,5块的广东红包可以进群吗
海大鱼,四川,2024-11-25 13:20:23,有个想法，加全国各地的朋友[舔屏]
阿红果业,浙江,2024-11-25 16:01:30,拉个全国拜年群
相守,安徽,2024-11-25 15:56:55,拉个过年群
小老虎是只傻猫,重庆,2024-11-25 16:08:32,都不拉我，那我自己建群了奥
脩.,山东,2024-11-25 15:17:51,谁建，我来[看]
冷少,河南,2024-11-25 14:32:25,自建
雪❄️,内蒙古,2024-11-25 13:38:02,有人没？拉个全国过年抢红包群[色][色]真实
秋..,河南,2024-11-25 15:24:41,建好了，来跨年
🌈废话薯片🌈,北京,2024-11-25 15:44:01,我建个？
坤,山东,2024-11-25 16:09:59,拉个过年交友群吗友友们，[如花]
8+1.,湖南,2024-11-25 13:44:07,真的全中国都在下雨吗？[疑问]
辣条不是很潇洒,西藏,2024-11-25 16:07:34,我建 来人
差点是男神,安徽,2024-11-25 16:01:36,建群干什么呀
